"id" "distance" "file_name"
"43" 10 "SIR-sensitivity-43.trace"
"44" 140 "SIR-sensitivity-44.trace"
"45" 22 "SIR-sensitivity-45.trace"
"46" 44 "SIR-sensitivity-46.trace"
"47" 189 "SIR-sensitivity-47.trace"
"48" 13 "SIR-sensitivity-48.trace"
"49" 88 "SIR-sensitivity-49.trace"
"5" 133 "SIR-sensitivity-5.trace"
"50" 160 "SIR-sensitivity-50.trace"
"51" 127 "SIR-sensitivity-51.trace"
"52" 33 "SIR-sensitivity-52.trace"
"53" 120 "SIR-sensitivity-53.trace"
"54" 8 "SIR-sensitivity-54.trace"
"55" 1 "SIR-sensitivity-55.trace"
"56" 75 "SIR-sensitivity-56.trace"
"57" 126 "SIR-sensitivity-57.trace"
"58" 163 "SIR-sensitivity-58.trace"
"59" 46 "SIR-sensitivity-59.trace"
"6" 149 "SIR-sensitivity-6.trace"
"60" 27 "SIR-sensitivity-60.trace"
"61" 147 "SIR-sensitivity-61.trace"
"62" 37 "SIR-sensitivity-62.trace"
"63" 128 "SIR-sensitivity-63.trace"
"64" 107 "SIR-sensitivity-64.trace"
"65" 97 "SIR-sensitivity-65.trace"
"66" 199 "SIR-sensitivity-66.trace"
"67" 25 "SIR-sensitivity-67.trace"
"68" 179 "SIR-sensitivity-68.trace"
"69" 78 "SIR-sensitivity-69.trace"
"7" 48 "SIR-sensitivity-7.trace"
"70" 45 "SIR-sensitivity-70.trace"
"71" 114 "SIR-sensitivity-71.trace"
"72" 53 "SIR-sensitivity-72.trace"
"73" 119 "SIR-sensitivity-73.trace"
"74" 113 "SIR-sensitivity-74.trace"
"75" 84 "SIR-sensitivity-75.trace"
"76" 69 "SIR-sensitivity-76.trace"
"77" 30 "SIR-sensitivity-77.trace"
"78" 65 "SIR-sensitivity-78.trace"
"79" 156 "SIR-sensitivity-79.trace"
"8" 16 "SIR-sensitivity-8.trace"
"80" 85 "SIR-sensitivity-80.trace"
"81" 87 "SIR-sensitivity-81.trace"
"82" 68 "SIR-sensitivity-82.trace"
"83" 193 "SIR-sensitivity-83.trace"
"84" 26 "SIR-sensitivity-84.trace"
"85" 144 "SIR-sensitivity-85.trace"
"86" 125 "SIR-sensitivity-86.trace"
"87" 94 "SIR-sensitivity-87.trace"
"88" 41 "SIR-sensitivity-88.trace"
"89" 77 "SIR-sensitivity-89.trace"
"9" 112 "SIR-sensitivity-9.trace"
"90" 172 "SIR-sensitivity-90.trace"
"91" 123 "SIR-sensitivity-91.trace"
"92" 40 "SIR-sensitivity-92.trace"
"93" 57 "SIR-sensitivity-93.trace"
"94" 24 "SIR-sensitivity-94.trace"
"95" 3 "SIR-sensitivity-95.trace"
"96" 178 "SIR-sensitivity-96.trace"
"97" 177 "SIR-sensitivity-97.trace"
"98" 137 "SIR-sensitivity-98.trace"
"99" 39 "SIR-sensitivity-99.trace"
