distance id optim_v-1 optim_v-2 
321.3418 181 0.001780287 5.113755 
399.7406 182 0.000985711 3.561533 
400.0805 183 0.000986711 3.561533 
399.4015 184 0.000984711 3.561533 
399.7402 185 0.000985711 3.561534 
399.741 186 0.000985711 3.561532 
306.9327 187 0.001527121 4.61919 
306.9474 188 0.001528121 4.61919 
306.9181 189 0.001526121 4.61919 
306.9327 190 0.001527121 4.619191 
306.9327 191 0.001527121 4.619189 
301.6626 192 0 4.144472 
301.61 193 1e-06 4.144472 
301.6626 194 0 4.144472 
301.6626 195 0 4.144473 
301.6625 196 0 4.144471 
300.3587 197 0.001118798 4.49226 
300.3697 198 0.001119798 4.49226 
300.3477 199 0.001117798 4.49226 
300.3587 200 0.001118798 4.492261 
300.3586 201 0.001118798 4.492259 
293.5663 202 0.0005593992 4.318366 
293.5599 203 0.0005603992 4.318366 
293.5727 204 0.0005583992 4.318366 
293.5663 205 0.0005593992 4.318367 
293.5663 206 0.0005593992 4.318365 
295.534 207 0 3.92309 
295.4635 208 1e-06 3.92309 
295.534 209 0 3.92309 
295.534 210 0 3.923091 
295.5339 211 0 3.923089 
290.1529 212 0.0002905129 4.128368 
290.13 213 0.0002915129 4.128368 
290.176 214 0.0002895129 4.128368 
290.153 215 0.0002905129 4.128369 
290.1529 216 0.0002905129 4.128367 
273.2915 217 0.0001585145 3.515087 
273.2554 218 0.0001595145 3.515087 
273.3282 219 0.0001575145 3.515087 
273.2916 220 0.0001585145 3.515088 
273.2915 221 0.0001585145 3.515086 
1439.754 222 0.0004925703 1.282846 
1438.846 223 0.0004935703 1.282846 
1440.662 224 0.0004915703 1.282846 
1439.755 225 0.0004925703 1.282847 
1439.754 226 0.0004925703 1.282845 
272.678 227 0.0001611701 3.497342 
272.6445 228 0.0001621701 3.497342 
272.7121 229 0.0001601701 3.497342 
272.678 230 0.0001611701 3.497343 
272.678 231 0.0001611701 3.497341 
267.5524 232 0.0002060338 3.197552 
267.6218 233 0.0002070338 3.197552 
267.4842 234 0.0002050338 3.197552 
267.5524 235 0.0002060338 3.197553 
267.5524 236 0.0002060338 3.197551 
271.1216 237 0 2.676679 
270.7549 238 1e-06 2.676679 
271.1216 239 0 2.676679 
271.1216 240 0 2.67668 
271.1216 241 0 2.676678 
261.2362 242 0.0001044475 2.940732 
261.2329 243 0.0001054475 2.940732 
261.2419 244 0.0001034475 2.940732 
261.2362 245 0.0001044475 2.940733 
261.2362 246 0.0001044475 2.940731 
269.3146 247 0 2.524454 
268.8702 248 1e-06 2.524454 
269.3146 249 0 2.524454 
269.3146 250 0 2.524455 
269.3146 251 0 2.524453 
259.8022 252 7.075277e-05 2.806441 
259.7413 253 7.175277e-05 2.806441 
259.8626 254 6.975277e-05 2.806441 
259.8022 255 7.075277e-05 2.806442 
259.8022 256 7.075277e-05 2.80644 
257.1598 257 3.926223e-05 2.510689 
257.0066 258 4.026223e-05 2.510689 
257.3206 259 3.826223e-05 2.510689 
257.1598 260 3.926223e-05 2.51069 
257.1598 261 3.926223e-05 2.510688 
252.0693 262 3.70306e-05 2.000066 
252.2803 263 3.80306e-05 2.000066 
251.8877 264 3.60306e-05 2.000066 
252.0693 265 3.70306e-05 2.000067 
252.0693 266 3.70306e-05 2.000065 
263.802 267 0 1.539904 
262.1902 268 1e-06 1.539904 
263.802 269 0 1.539904 
263.802 270 0 1.539905 
263.802 271 0 1.539903 
250.8239 272 2.61879e-05 1.865329 
250.8789 273 2.71879e-05 1.865329 
250.8113 274 2.51879e-05 1.865329 
250.8239 275 2.61879e-05 1.86533 
250.8239 276 2.61879e-05 1.865328 
263.9594 277 0 1.355083 
261.9185 278 1e-06 1.355083 
263.9594 279 0 1.355083 
263.9594 280 0 1.355084 
263.9594 281 0 1.355082 
250.5193 282 2.063137e-05 1.757066 
250.4716 283 2.163137e-05 1.757066 
250.6236 284 1.963137e-05 1.757066 
250.5193 285 2.063137e-05 1.757067 
250.5193 286 2.063137e-05 1.757065 
250.3188 287 1.796209e-05 1.654928 
250.2657 288 1.896209e-05 1.654928 
250.4461 289 1.696209e-05 1.654928 
250.3188 290 1.796209e-05 1.654929 
250.3188 291 1.796209e-05 1.654927 
250.1928 292 1.720582e-05 1.545215 
250.3056 293 1.820582e-05 1.545215 
250.1793 294 1.620582e-05 1.545215 
250.1928 295 1.720582e-05 1.545216 
250.1928 296 1.720582e-05 1.545214 
250.1727 297 1.577456e-05 1.517572 
250.2053 298 1.677456e-05 1.517572 
250.2471 299 1.477456e-05 1.517572 
250.1727 300 1.577456e-05 1.517573 
250.1727 301 1.577456e-05 1.517571 
250.1704 302 1.619656e-05 1.527379 
250.2242 303 1.719656e-05 1.527379 
250.2208 304 1.519656e-05 1.527379 
250.1704 305 1.619656e-05 1.52738 
250.1704 306 1.619656e-05 1.527378 
250.1704 307 1.612831e-05 1.524945 
250.2229 308 1.712831e-05 1.524945 
250.2228 309 1.512831e-05 1.524945 
250.1704 310 1.612831e-05 1.524946 
250.1704 311 1.612831e-05 1.524944 
250.1704 312 1.612232e-05 1.524687 
250.2228 313 1.712232e-05 1.524687 
250.2228 314 1.512232e-05 1.524687 
250.1704 315 1.612232e-05 1.524688 
250.1704 316 1.612232e-05 1.524686 
